1  1.035675e+017 -1.985852e+016 -6.198052e+014 1.177936e+017 -7.600627e+016 -3.461405e+017
2  7.060766e+016 -6.888923e+016 -2.449113e+016 7.905643e+016 -7.061075e+016 -3.374557e+017
3  1.491428e+017 -1.333759e+017 -7.992928e+016 3.257738e+016 -7.898667e+016 -3.356744e+017
4  1.162879e+017 -1.576015e+017 -9.449371e+016 1.237793e+015 -6.815248e+016 -2.973025e+017
5  9.960770e+016 -1.021214e+017 -6.884990e+016 5.050672e+016 -8.799837e+016 -3.093059e+017
6  4.704179e+016 -1.148258e+017 -8.233711e+016 1.455998e+016 -8.789573e+016 -2.817871e+017
7  1.034593e+017 -1.111257e+017 -3.489164e+016 8.237501e+016 -6.173834e+016 -2.734632e+017
8  8.266141e+016 -1.236694e+017 -3.241649e+016 3.932045e+016 -4.923747e+016 -2.845915e+017
9  4.601561e+016  1.393048e+016  2.502695e+016 8.349350e+016 -3.650487e+016 -3.190917e+017
10 1.506710e+017 -1.450985e+017 -1.527061e+017 7.374805e+016 -1.115103e+017 -2.804590e+017
