# Extracted from inventory.xml with awk 
# awk '/station publicID/ || /latitude/ || /longitude/ {print $0}' inventory.xml > stalocs.txt
TUM	1.823667	-78.726667
TUM3C	1.824	-78.745
TVCAC	4.7178	-74.0846
URE	7.751667	-75.532667
URI	11.702	-71.993
URMC	3.24719	-74.37879
VALLC	10.508	-73.258
VIL	4.112	-73.6935
VMM05	7.9068	-73.557
VMM06	7.4574	-73.5968
VMM07	7.3601	-73.8519
VMM09	7.1269	-73.2898
VMM10	6.767	-73.725
VMM11	7.43796	-73.57067
VMM12	8.08644	-73.88861
VMM13	7.56398	-73.9831
YOT	3.9835	-76.345
YPLC	5.3969	-72.3802
ZAR	7.492333	-74.858
BOAV	2.3953	-60.5225
CZSB	-7.7299	-72.7049
SGC2	-0.1514	-66.9776
TBTG	-4.1868	-69.909
BRU2	8.794	-82.6878
CS01	9.4771	-73.4732
CS02	10.15048	-73.19784
CS03	9.70871	-73.66548
CS04	9.84946	-73.7779
CS05	10.03446	-73.89277
CS06	10.21264	-73.96495   
CS07	10.20981	-73.55579
CS08	10.50974	-73.28408
GJ01	12.18236	-72.1174
GJ01B	12.19398	-72.13988
GJ02	11.72031	-72.30923
GJ03	11.72735	-72.54573
GJ04	11.47073	-72.53288
GJ05	11.54082	-72.84788
GJ06	11.39426	-72.29728
GJ07	11.17078	-72.61309
GJ08	11.25241	-72.87673
GJ09	11.2178	-73.24797
GJ10	10.79249	-73.01643
MD01	10.42416	-74.09423
MD02	10.5131	-74.11137
MD03	10.70445	-74.1114
MD04	10.89531	-74.15136
MD05	11.02217	-74.21248
MD06	11.28053	-73.87714
MD07	10.90865	-74.85648
AZU	7.7894	-80.2743
CACAO	7.33	-80.85
GMAL	7.8	-81.25
PNME	8.486	-80.3269
PTP	8.2	-82.87
UPA	8.982795	-79.533908
UPD2	8.5475	-78.0148
ALCE	-0.4548	-90.9701
BONI	0.4528	-77.5297
CASC	0.1368	-77.328
COHC	-2.4661	-79.2574
CUSE	0.3053	-78.3991
FLF1	-0.35743	-79.84268
LITA	0.7945	-78.3611
MCRA	-4.3697	-79.9544
PAC1	0.2661	-78.7914
PIAT	-0.9771	-78.2616
PPLP	-1.5451	-80.775
PTGL	0.78153	-80.03037
RVRD	1.06762	-79.38507
SNLR	1.2926	-78.8471
TULM	0.7161	-77.7869
DABV	10.921833	-70.636167
ELOV	7.001	-69.483333
MCQV	10.033	-72.533
SIQV	10.6489	-69.8079
SOCV	8.284167	-70.856333
LPAZ	-16.2879	-68.13069
GCUF	1.226	-77.345
ACON	11.968	-85.174
APQN	12.221697	-86.299168
BLUN	11.993639	-83.771944
CARN	11.187226	-85.522177
CNGN	12.5	-86.6985
CRIN	12.696167	-87.05
CSAN	12.156192	-86.41461
ESPN	12.195	-84.300307
ESTN	13.101667	-86.369167
HERN	12.6093	-86.831
HUEN	12.3363	-86.169365
LIMN	13.062363	-86.366198
MATN	12.9298	-85.9255
MGAN	12.148928	-86.248313
NANN	11.939032	-86.121279
POTN	12.999861	-87.506284
RCON	13.48417	-86.156
SOMN	13.511133	-86.532467
ANIL	4.491	-75.403
ELA	4.86071	-75.40041
AUA1	12.505567	-70.010567
CLMA	3.8685	-76.582139
NIMA	3.54426	-76.19768
ANWB	17.66853	-61.78557
BBGH	13.1434	-59.5588
BCIP	9.1665	-79.8373
GRGR	12.1324	-61.654
GRTK	21.51149	-71.1327
GTBY	19.9268	-75.1108
MTDJ	18.22605	-77.53454
SDDR	18.9821	-71.2878
TGUH	14.057	-87.273
JTS	10.2908	-84.9525
NNA	-11.9875	-76.8422
OTAV	0.2376	-78.4508
PAYG	-0.6742	-90.2861
PTGA	-0.7308	-59.9666
SAML	-8.9489	-63.1831
SDV	8.8839	-70.634
SJG	18.1091	-66.15
TEIG	20.2263	-88.2763
